Year;The organization works (1 - works, 0 - no);The organization receives agricultural production from the activity (1 - yes, 0 - no);Number of workers last year, persons;Average monthly salary of workers last year;Size of acreage last year, hectare;Conditional livestock of farm animals last year, heads;Quantity of agricultural machinery last year, pieces;Cost of fixed assets of the organization last year;Costs of production of the organization last year;Prime cost of the made agricultural production last year;Proceeds from sales of the made agricultural production last year;Profit on realization of the made agricultural production last year
2017;1;1;94;20747.34043;1997;988;37;278106;115794;68565;87615;19050
2017;1;1;16;15000;803;178;16;11930;16976;8969;10097;1128
2017;1;1;21;16666.66667;564;263;14;24068;23750;12150;12438;288
2017;1;1;55;18104.54545;3696;808;31;68374;72290;45794;47936;2142
2017;1;1;9;14787.03704;662;0;11;12305;11228;8153;8603;450
2017;1;1;5;15683.33333;616;282;2;21102;7459;3347;3003;-344
2017;1;1;4;9000;150;0;5;4640;1431;1384;2289;905
2017;1;1;14;15452.38095;430;209;7;4275;10634;7119;7488;369
2017;1;1;12;15465.27778;575;210;10;23980;14150;7733;5349;-2384
2017;1;1;85;22974.5098;14890;0;44;247679;190300;112236;127475;15239
2017;1;1;7;17047.61905;3318;476.57;13;62824;29103;19956;18280;-1676
2017;1;1;31;15112.90323;2870;748;10;26842;44979;19813;21905;2092
2017;1;1;5;15583.33333;2148;0;8;43233;20786;21654;24684;3030
2017;1;1;8;14031.25;461;0;10;6232;8920;5104;6205;1101
2017;1;1;122;21165.30055;17252;0;14;31150;442816;288088;319131;31043
2017;1;1;7;15119.04762;1997;103;6;14091;9734;8680;7417;-1263
2017;1;1;1;14250;1114;0;17;1729;2288;2609;2613;4
2017;1;1;3;15000;2166;223;7;12284;25625;11625;14647;3022
2017;1;1;3;18000;4536;0;12;25288;22468;22447;24239;-1792
2017;1;1;18;16194.44444;5495;817;13;106698;88099;82661;89644;6983
2017;1;0;1;34416.66667;206;0;0;400;3071;3071;2387;-684
2017;1;1;48;16939.23611;2215;0;10;83228;50894;39127;36715;-2412
2017;1;1;14;16107.14286;1183;0;13;21658;13503;9639;11702;2063
2017;1;1;46;20061.5942;2657;129;25;165457;47408;4378;5243;865
2017;1;0;6;8597.222222;2563;0;7;16828;5246;2406;2406;0
2017;1;1;19;14460.52632;1545;191;12;15433;24816;19935;28569;8634
2017;1;1;48;16939.23611;2215;0;10;83228;50894;39127;36715;-2412
2017;1;1;3;16666.66667;1370;0;10;19957;9869;7648;7964;316
2017;1;1;17;21166.66667;2392;0;10;42713;43746;17785;18109;324
2017;1;1;7;9511.904762;194;0;0;141;1790;476;298;-178
2017;1;1;139;25053.95683;3350;1363;47;243649;172316;123695;134652;10957
2017;1;1;4;12437.5;0;146;0;0;3059;2983;3171;188
2017;1;1;8;15979.16667;575;0;6;2036;4608;3657;4010;353
2017;1;1;3;11805.55556;848;0;6;792;1595;845;836;-9
2017;1;1;0.08;9375;300;0;6;1071;502;220;148;-72
2017;1;1;34;11735.29412;2351;774;19;31678;45882;29077;32157;3080
2017;1;1;25;12720;600;398;0;7570;23650;22509;20545;-1964
2017;1;1;30;13691.66667;2350;0;5;6606;30520;25788;14076;-11712
2017;1;1;7;49250;2380;0;2;77935;48388;36241;13569;-22672
2017;1;1;8;8656.25;1270;0;12;29238;6210;6214;4310;-1904
2017;1;1;5;20200;1513;0;14;34104;11593;9502;11565;2063
2017;1;1;52;16410.25641;5866;0;31;114278;91740;54786;68126;13340
2017;1;1;47;13434.39716;3632;440;19;48738;39531;26935;29622;2687
2017;1;1;147;16437.64172;6981;1268;40;179095;116727;79888;82984;3096
2017;1;1;103;14604.36893;6930;691;39;83991;81517;52068;77762;25694
2017;1;1;0.5;4500;89;0;2;639;110;-90;74;-16
2017;1;1;16;15005.20833;2399;676.2;8;165414;51633;-36408;43328;5577
2017;1;1;43;14205.42636;3760;614;28;52282;40425;-25136;18171;-6428
2017;1;1;3;8583.333333;1772;0;13;8286;1265;-894;718;-176
2017;1;1;2;9708.333333;1690;0;6;8984;1132;-619;320;-299
2017;1;1;1;12000;800;0;3;13631;395;-164;142;-22
2017;1;1;0.5;22500;1005;0;3;5723;1548;-1626;1546;-80
2017;1;1;11;13128.78788;3344;95;13;25129;7611;-3561;2731;-1478
2017;1;0;2;8208.333333;2336;103;21;21506;10052;-10052;6113;-2303
2017;1;1;19;8157.894737;2432;279;21;28394;14655;7547;6665;-882
2017;1;1;7;9488.095238;1047;123;13;12618;7640;3504;3340;-164
2017;1;1;5;6950;1617;0;2;4334;3460;3568;2896;-672
2017;1;1;3;12055.55556;351;41;4;7454;2926;1789;956;-833
2017;1;1;1;5500;365;0;0;1341;650;214;141;-73
2017;1;1;7;8642.857143;335;0;4;2044;1336;826;945;119
2017;1;1;5;16450;1885;291;2;10873;7215;5462;7433;1971
2017;1;1;60;15230.55556;2697;910;24;120576;74144;41892;43000;1108
2017;1;1;72;15034.72222;2598;876;33;71995;52749;37823;38662;839
2017;1;1;20;6904.166667;2896;169;14;16869;12945;10628;7844;-2784
2017;1;1;161;22229.29607;4087;1966;43;665024;199938;141323;163380;22057
2017;1;1;51;15171.56863;2590;638;5;24032;29895;22448;23760;1312
2017;1;1;24;20857.63889;2505;289;42;36299;28504;14771;16916;2145
2017;1;1;47;15508.86525;2608;609;27;48311;37559;23110;23868;758
2017;1;1;7;16630.95238;638;165;6;9768;9906;6354;5569;-785
2017;1;1;6;14805.55556;367;123;12;10621;7032;4234;3569;-665
2017;1;1;7;17857.14286;2390;173;18;11437;10921;5470;4829;-641
2017;1;1;60;14398.61111;1517;659;20;75070;52934;34455;38691;4236
2017;1;1;3;9194.444444;926;0;3;10772;6114;5168;4892;-276
2017;1;1;5;10716.66667;1102;0;6;21334;5977;7106;8198;1092
2017;1;1;23;15061.5942;685;186;18;21119;13598;9292;10028;736
2017;1;1;74;15671.17117;2392;890;27;76596;72974;45276;49732;4456
2017;1;1;3;10000;164;0;3;862;908;887;963;76
2017;1;1;9;7314.814815;870;124;10;25426;9198;5750;5665;-85
2017;1;1;35;14990.47619;1410;261;21;62932;31507;22668;24176;1508
2017;1;1;40;18214.58333;710;386;11;42127;24069;17685;18495;810
2017;1;1;51;17073.52941;4751;902;38;124978;66961;33202;36528;3326
2017;1;1;30;11219.44444;1910;902;0;6151;18271;12348;8715;-3633
2017;1;1;20;16200;2234;546;13;79964;31152;23302;25239;1937
2017;1;1;33;15411.61616;1550;553;22;53086;32445;21805;21888;83
2017;1;1;4;12229.16667;1116;93;3;21457;5090;2855;3753;898
2017;1;1;1;22500;1723;0;3;13485;2645;2339;2700;361
2017;1;1;1;17250;1100;88;7;5186;6490;2221;1927;-294
2017;1;1;1;15000;135;0;4;1298;760;519;973;454
2017;1;1;13;9756.410256;3811;0;9;22302;11327;10165;10913;748
2017;1;1;84;14277.77778;4291;506;24;110206;76568;51634;39518;-12116
2017;1;1;65;10303.84615;9352;600;36;140512;107728;55080;67885;12805
2017;1;1;3;9055.555556;1008;174;0;1555;14709;8380;8419;39
2017;1;1;82;18709.34959;2224;639;43;93315;61628;41822;47586;5764
2017;1;1;10;7975;2522;0;9;7870;5374;4864;3939;-925
2017;1;1;18;10962.96296;3745;0;18;41247;12666;4305;5967;1662
2017;1;1;10;17216.66667;1711;0;9;42169;23170;20889;24531;3642
2017;1;1;85;29501.96078;10338;0;0;1116584;375960;94313;134379;40066
2017;1;1;580;12425.57471;23526;2904.22;18;58544;344257;201593;252229;50636
2017;1;1;13;14506.41026;1585;212;10;9134;7943;4795;4242;-553
2017;1;1;65;18557.69231;2866;1009;19;118901;70220;39830;40544;714
2017;1;1;93;18916.66667;3360;1201;36;220536;110237;60002;61105;1103
2017;1;1;4;5979.166667;530;0;8;10280;1350;820;922;102
2017;1;1;60;15045.83333;2490;778;27;53356;41431;24764;25584;820
2017;1;1;4;7875;350;0;5;96291;1437;500;658;158
2017;1;1;14;13077.38095;0;0;0;7015;4848;5582;7040;1458
2017;1;1;1.5;14333.33333;350;0;0;0;3287;1084;1104;20
2017;1;1;296;33111.76802;578;0;12;1236294;442964;429043;448399;19356
2016;1;1;66;14348.48485;0;1239;12;83229;77999;56096;51830;-4266
2016;1;1;21;13095.2381;4981;426;14;42500;25374;18319;17407;-912
2016;1;1;6;11208.33333;752;0;6;1720;4023;3122;3484;362
2016;1;1;18;10666.66667;1137;233;8;21598;13485;11365;10797;-568
2016;1;1;30;16919.44444;3148;0;22;89589;31229;38214;38962;748
2016;1;0;1;12583.33333;1863;0;12;58774;471;5034;5365;331
2016;1;1;90;19451.85185;6342;1037;26;235066;150043;109884;144368;34484
2016;1;1;40;16350;3457.1;851;20;106298;80767;50045;52785;2740
2016;1;1;44;12439.39394;1991;248;23;35466;26336;16204;15051;-1153
2016;1;1;61;12963.11475;3400;0;0;2304;33895;28930;27918;-1012
2016;1;1;18;8689.814815;1067;637.7;7;55256;28495;12550;10898;-1652
2016;1;1;9;14527.77778;700;25.16;6;32629;10573;6550;7122;572
2016;1;1;5;8383.333333;1346;0;0;3291;15813;8962;8890;-72
2016;1;1;4;21645.83333;6369;0;4;46758;22265;19710;26655;6945
2016;1;1;166;18506.5261;5374;2032;28;532774;198214;143333;173579;30246
2016;1;1;92;37764.49275;7502;0;33;764446;317640;188258;350860;162602
2016;1;1;17;8848.039216;1469;0;8;153267;65736;37991;62420;24429
2016;1;1;48;15666.66667;1300;938;6;101322;71283;51042;49004;-2038
2016;1;1;40;18497.91667;1214;0;7;142666;42269;30383;39718;9335
2016;1;1;110;20587.12121;3326;932;15;108745;104841;83285;77415;-5870
2016;1;1;6;9444.444444;500;0;16;140283;33923;35248;75665;40417
2016;1;1;10;15608.33333;587;0;11;22992;8061;7654;6440;-1214
2016;1;1;5;16400;1954;0;0;17560;19875;8760;14349;5589
2016;1;1;8;16531.25;235;622;0;10508;17444;17948;21000;3052
2016;1;1;2;15208.33333;135;0;3;4056;3921;3265;3654;389
2016;1;1;4;15020.83333;123;0;2;3094;3397;2806;2998;192
2016;1;1;3;10055.55556;263;0;9;14301;5737;1070;1788;718
2016;1;1;17;8985.294118;344;0;9;10519;6507;5543;6193;650
2016;1;1;1;22500;80;0;1;29700;4917;2959;4328;1369
2016;1;1;7;15000;308;0;6;25315;16189;10743;17869;7126
2016;1;1;2;15000;148;0;2;5539;3574;2850;3274;424
2016;1;1;6;14805.55556;598;0;5;13158;10778;6128;8258;2130
2016;1;1;2;7750;372;0;2;1770;1434;1786;2455;669
2016;1;1;4;15000;308;0;11;3605;2170;1529;2473;944
2016;1;1;55;18013.63636;2212;904;21;213844;125762;84996;83906;-1090
2016;1;1;25;15723.33333;490;270;13;55811;29022;21197;21347;150
2016;1;1;10;9558.333333;5791;0;15;197387;36186;31547;48641;17094
2016;1;1;92;21597.82609;4761;1056;22;213999;129308;88563;103824;15261
2016;1;1;96;15322.91667;4491;621;31;241203;114854;78088;89402;11314
2016;1;1;133;20781.32832;1139;0;22;301174;398120;414797;452631;37834
2016;1;0;17;17014.70588;580;0;25;95294;15014;14850;15084;234
2016;1;1;99;21389.73064;3120;1053;24;198667;142276;101168;114644;13476
2016;1;0;66;14960.85859;3791;2179;14;417829;184439;170752;123139;-47613
2016;1;1;43;9905.03876;2567;712;4;48423;37589;27421;27280;-141
2016;1;1;1;20916.66667;437;0;4;3150;4320;2858;3487;629
2016;1;1;23;14717.3913;3883;0;11;61391;57846;34441;47817;13376
2016;1;1;2;14541.66667;666;0;2;15759;2884;4675;5081;406
2016;1;1;2;19708.33333;73;0;2;4763;6877;5226;5381;155
2016;1;1;142;16095.07042;3714;1234;26;318500;272361;160712;244567;83855
2016;1;1;51;15200.98039;4240;0;13;618030;73860;50451;80337;29886
2016;1;1;18;14495.37037;0;398;6;32315;40330;31377;32491;1114
2016;1;1;1;0;345;0;1;48680;1258;3950;5019;1069
2016;1;1;82;13815.04065;4854;366;18;54600;82617;65736;72689;6953
2016;1;1;113;14329.64602;5670;1070;49;315964;190629;98708;100288;1580
2016;1;1;112;15478.42262;6352;739;15;70539;101234;76068;85455;9387
2016;1;1;104;10415.86538;6776;872;33;305078;107741;71720;66324;-5396
2016;1;1;80;11379.16667;3574;619;25;105601;80614;54106;54659;553
2016;1;1;10;10291.66667;1868;61;6;39597;4400;8620;6525;-2095
2016;1;1;1;12083.33333;190;0;3;9835;1142;1049;836;-213
2016;1;1;70;11394.04762;2527;708;25;27480;45088;31369;41247;9878
2016;1;1;477;18131.55136;12430;3387.12;94;440174;604819;292469;377150;84681
2016;1;1;3;8305.555556;1216;0;0;3217;1623;561;420;-141
2016;1;1;3;6666.666667;314;5;0;625;810;431;228;-203
2016;1;1;22;7053.030303;3318;139;9;66933;10277;9404;10376;972
2016;1;1;1;416.6666667;0;14;0;5781;495;347;417;70
2016;1;1;17;19186.27451;1870;0;0;2617;15666;7051;11978;4927
2016;1;1;181;21831.95212;11387;2012;40;246955;280735;153860;158968;5108
2016;1;1;41;17408.53659;1370;330;15;60210;41877;25561;24520;-1041
2016;1;0;12;14250;418;0;5;30027;17118;12720;17240;4520
2016;1;1;1092;19181.01343;0;0;52;785592;1612438;1141087;1356092;215005
2016;1;1;49;15250;3836;414;11;33377;48909;28810;35365;6555
2016;1;1;8;22510.41667;950;0;3;9509;17407;13352;22242;8890
2016;1;1;148;21896.95946;3905;10024.74;17;615579;334534;314351;319267;4916
2016;1;1;1;16666.66667;380;0;0;0;8931;2630;3214;584
2016;1;1;70;10175;3017;513;13;341752;78374;44019;41074;-2945
2016;1;1;122;19948.08743;2818;1028;14;137465;143906;132658;156460;23802
2016;1;1;3;10638.88889;255;0;4;14333;3856;3167;4576;1409
2016;1;1;22;17102.27273;1250;0;5;77572;20721;14332;9455;-4877
2016;1;1;20;9512.5;1609;0;5;17605;12479;13031;11510;-1521
2016;1;1;11;11803.0303;4198;0;15;22852;10699;5191;5511;320
2016;1;1;35;10014.28571;4357;424;12;25094;15848;10562;10565;3
2016;1;1;15;13527.77778;2704;284;13;20288;19802;13620;17045;3425
2016;1;1;75;19667.77778;4487;1115;28;170257;100430;66375;83659;17284
2016;1;1;5;8900;0;15;0;0;1124;1233;1054;-179
2016;1;1;55;18260.60606;3782;1124;25;109565;71455;46506;44987;-1519
2016;1;1;5;7866.666667;0;15;0;21741;1017;1017;221;-796
2016;1;1;93;14827.95699;7273;0;50;141787;92550;79993;120247;40254
2016;1;1;80;14212.5;4405;1788;24;203271;115410;67450;68840;1390
2016;1;1;7;8404.761905;619;327;12;29656;13402;13700;12978;-722
2016;1;1;14;14815.47619;1341;60;14;48781;16814;6003;11188;5185
2016;1;1;74;14599.0991;3592;941;21;44914;49625;32082;32291;209
2016;1;1;149;12545.8613;5514;1684;27;226672;206508;142606;157580;14974
2016;1;1;57;13994.15205;3509;907;22;35908;48866;30078;35801;5723
2016;1;1;32;15169.27083;4444;966;14;104280;65107;67107;65575;-1532
2016;1;1;103;14468.4466;8332;889;34;245865;131456;96426;103155;6729
2016;1;1;74;12270.27027;0;3428.04;2;88385;105231;93012;95103;2091
2016;1;1;5;8050;0;15;0;1881;993;993;221;-772
2016;1;1;67;16946.51741;67;0;4;133413;181474;175091;191434;16343
2016;1;1;36;14807.87037;5410;0;12;57055;58856;17800;27800;10000
2016;1;1;75;14381.66667;3168;979;35;119257;75872;46973;49034;2061
2016;1;1;240;18723.95833;11184;4183;77;937300;567113;425212;425361;149
2016;1;1;83;17220.88353;8778;25;24;90224;95137;56315;60054;3739
2016;1;1;32;14731.77083;3111;709;33;46412;44579;31165;36367;5202
2016;1;1;2;16833.33333;1313;0;9;470;3436;2081;2163;82
2016;1;1;79;37475.31646;3370;14939.1;7;1288257;601779;188319;132047;-56272
2016;1;1;3;7027.777778;1504;0;11;2638;963;466;493;27
2016;1;1;4;3625;436;3;2;1143;361;261;160;-101
2016;1;1;5;8100;1210;0;0;1762;2735;2735;2739;4
2016;1;1;2;5833.333333;304;0;2;355;477;86;129;43
2016;1;1;15;9811.111111;2654;251.1;14;21873;12141;7148;7819;671
2016;1;0;2;10583.33333;0;0;0;0;337;724;431;-293
2016;1;1;20;10466.66667;2212;246.16;6;9261;9149;6390;5246;-1144
2016;1;1;33;16724.74747;3538;672;11;52560;23762;15476;13547;-1929
2016;1;1;26;10342.94872;4395;273;9;18205;11292;6928;6425;-503
2016;1;0;3;8500;0;0;0;8664;687;687;720;33
2016;1;1;1648;21045.05461;2125;685;91;1913562;3109342;1801753;2571072;769319
2016;1;1;161;17597.82609;363;0;12;147039;153402;134580;139140;4560
2016;1;1;337;23910.73195;0;45109.68;20;326177;1032851;876134;1031704;155570
2016;1;1;38;19914.47368;1701;410;1;20017;39473;24334;25502;2168
2016;1;0;9;12083.33333;0;0;0;37448;50688;42947;43752;805
2016;1;1;16;12458.33333;1128;194;7;15788;12730;9211;7132;-2079
2016;1;1;3;10500;0;0;3;12535;1449;199;150;-49
2016;1;1;38;14828.94737;2843;477;13;61393;35885;18063;18236;173
2016;1;1;3;14583.33333;537;86;0;2630;4452;2606;3126;520
2016;1;1;151;17073.39956;9016;1137;28;223678;166001;109853;113076;3223
2016;1;1;12;15034.72222;922;102;12;19761;7457;5438;4701;-737
2016;1;1;2;8958.333333;766;53;9;2005;1692;905;591;-314
2016;1;1;1;8000;1500;0;0;0;359;108;116;8
2016;1;1;2;15375;1043;226;8;10728;7687;4704;5121;417
2016;1;0;1;8000;1609;0;8;11857;234;28;146;118
2016;1;1;7;17642.85714;2003;0;2;8244;4810;5778;5581;-197
2016;1;1;74;15287.16216;2667;955;24;62600;49574;31322;33437;2115
2016;1;1;6;15708.33333;1511;244;9;10346;6893;2456;1454;-1002
2016;1;1;8;8604.166667;2259;48;1;3444;2748;2145;1768;-377
2016;1;1;3;6000;3710;0;1;1402;812;539;446;-93
2016;1;1;20;8400;1002;207;6;4620;9257;4944;4143;-801
2016;1;0;2;1500;2205;0;2;5215;497;417;241;-176
2016;1;1;2;7583.333333;1611;0;2;2623;645;620;319;-301
2016;1;1;6;10180.55556;1259;0;13;12043;2556;1547;783;-764
2016;1;0;1;3500;2005;0;10;2534;345;280;257;-23
2016;1;1;1;7500;0;1;0;2220;133;58;52;-6
2016;1;1;681;19874.57171;16380;15488.235;151;1220156;874108;467070;462131;-4939
2016;1;1;7;16214.28571;2387;317;1;15229;14108;10678;10587;-91
2016;1;0;8;13843.75;0;0;4;12199;9940;5450;5634;184
2016;1;1;11;11272.72727;695;114;0;4501;4342;2889;3146;257
2016;1;1;34;15066.17647;1149;260;12;41892;18600;15164;13997;-1167
2016;1;1;7;8869.047619;37;152;2;0;6392;8561;8573;12
2016;1;1;1;8000;432;80;1;6390;2149;1307;1275;-32
2016;1;1;10;20141.66667;0;0;6;0;7758;6450;3910;-2540
2016;1;1;162;17154.83539;5956;3007;34;230144;185027;107930;127967;20037
2016;1;1;269;14654.89467;7587;3231;71;368002;244477;169625;172154;2529
2016;1;1;140;18453.57143;3858;1730;36;188193;136080;83897;96579;12682
2016;1;1;5;7216.666667;1840;0;2;5892;1805;1434;1458;24
2016;1;1;3;8805.555556;811;0;8;564;857;733;700;-33
2016;1;1;68;15078.43137;3721;849;21;75417;62144;41330;39900;-1430
2016;1;1;40;11650;3386;340;4;23234;23580;22016;21623;-393
2016;1;1;5;7850;816;20;1;4161;1916;575;645;70
2016;1;1;86;18454.45736;1575;595;30;117882;106630;62670;72735;10065
2016;1;0;7;9440.47619;89;0;0;2200;1832;1681;1470;-211
2016;1;1;212;22724.84277;3019;1700;37;187004;210494;122114;132088;9974
2016;1;1;78;29887.82051;2631;229;15;236540;162267;118059;122978;4919
2016;1;1;10;10733.33333;277;0;6;2277;9429;4259;6485;2226
2016;1;1;54;7688.271605;900;463;26;61515;32048;22578;23056;478
2016;1;1;2;12000;47;0;6;2109;1540;956;1010;54
2016;1;1;6;10902.77778;248;0;2;3710;6333;4480;6965;2485
2016;1;1;66;22661.61616;2912;1362.08;21;140637;70160;48362;46021;-2341
2016;1;1;18;11972.22222;428;0;7;29657;21748;12724;22748;10024
2016;1;1;36;11493.05556;731;177;14;20484;19526;12270;12814;544
2016;1;1;141;18057.91962;2262;1141;30;144531;130350;78403;85849;7446
2016;1;1;14;15380.95238;479;0;6;21645;9604;6980;7002;22
2016;1;1;245;25803.7415;3334;1908;35;240415;276283;171971;182849;10878
2016;1;1;194;19982.81787;2673;934;54;247600;205641;125344;200018;74674
2016;1;1;56;16375;4496;266;35;114529;63875;33492;36607;3115
2016;1;1;153;24282.67974;3648;1504;40;276274;279235;176960;162267;-14693
2016;1;1;129;22011.62791;5507;1959;40;844389;244183;145719;147032;1856
2016;1;1;106;35203.61635;3898;2040.08;31;508744;251966;169209;218786;49577
2016;1;1;84;25319.44444;0;1236;16;219196;117391;95744;109102;13358
2016;1;1;86;16065.89147;5155;1154;22;176110;99610;63033;75878;12845
2016;1;1;74;16998.87387;4667;1111;25;113643;81956;51823;57197;5374
2016;1;1;13;15326.92308;3336;557;15;51042;47802;31885;33780;1895
2016;1;1;8;14833.33333;1993;0;3;50822;29965;23326;42384;19058
2016;1;1;20;37245.83333;1200;0;7;172057;77824;51983;104813;52830
2016;1;1;1;11333.33333;2382;0;1;5904;23552;7502;7680;178
2016;1;1;4;8541.666667;1870;0;0;1074;8352;4468;5016;548
2016;1;1;1;10000;206;0;0;2830;898;588;597;9
2016;1;0;3;8027.777778;76;0;0;4757;691;641;766;125
2016;1;1;120;14074.30556;4407;891;41;126977;105505;82201;87394;5193
2016;1;1;2;11958.33333;103;0;0;8642;801;675;642;-33
2016;1;1;4;9625;0;267;4;6824;17325;16859;18306;1447
2016;1;1;21;11587.30159;2991;1110;9;60804;137653;82862;83106;244
2016;1;1;183;24964.48087;0;0;6;518255;747345;737965;800984;63019
2016;1;1;6;10888.88889;564;0;6;287422;7243;6823;6822;-1
2016;1;0;106;15383.33333;0;0;0;0;0;0;0;0
2016;1;1;92;19526.26812;4599;1272;33;100886;123986;66025;63800;-2225
2016;1;1;5;766.6666667;100;0;0;8695;898;1768;1896;128
2016;1;1;1;9083.333333;700;0;0;202;1240;925;1202;277
2016;1;1;81;11207.81893;9146;995;46;161641;104823;69494;92598;23104
2016;1;1;13;14711.53846;1320;197;3;8819;27175;16361;17885;1524
2016;1;1;5;1316.666667;100;0;0;3806;763;669;674;5
2016;1;1;77;18660.17316;2416;638;26;96601;90634;41984;43160;1176
2016;1;1;36;10363.42593;3684;581;18;69241;28729;12872;19285;6413
2016;1;1;25;22163.33333;6285;0;18;36251;37069;35504;39966;4462
2016;1;0;4;7729.166667;0;0;0;1031;635;15;51;36
2016;1;1;1;10166.66667;0;10;4;735;319;319;358;39
2016;1;1;80;14320.83333;3497;1435;32;140104;71353;40127;40232;105
2016;1;1;205;14641.46341;5222;2519;52;345602;277046;145221;144323;-898
2016;1;1;18;10837.96296;2891;358;19;31809;21952;12180;12943;763
2016;1;1;438;19308.21918;5873;4066.54;73;394059;448487;237807;272708;34901
2016;1;1;122;14571.72131;5007;1590;45;239050;158575;95445;101097;5652
2016;1;1;194;19568.29897;5423;1785;38;251306;186423;108165;110048;1883
2016;1;1;1;10250;2;0;0;0;205;205;350;145
2016;1;1;5;1666.666667;2367;0;12;8315;2418;524;600;76
2016;1;0;2;11291.66667;24;0;0;1093;928;608;608;0
2016;1;0;1;9000;1061;0;6;458;1842;1180;1597;417
